Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.05      1.46     1.46        1     1.46     4.10  compute_congestion_pressure(std::vector<int, std::allocator<int> > const&, int, int, int)
 19.03      2.72     1.26     1200     0.00     0.00  shortest_path_bfs(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, RouteRequest const&, std::vector<int, std::allocator<int> >&)
 18.58      3.95     1.23 272646144     0.00     0.00  next_pressure_value(int, int, int, int, int, int, int, int, int)
 18.28      5.16     1.21 1941504792     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  5.59      5.53     0.37                             _init
  4.68      5.84     0.31     1200     0.00     0.00  __gnu_cxx::__enable_if<!std::__is_scalar<Point>::__value, void>::__type std::__fill_a1<Point*, Point>(Point*, Point*, Point const&)
  3.32      6.06     0.22 272646144     0.00     0.00  int const& std::min<int>(int const&, int const&)
  2.87      6.25     0.19     1202     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  2.11      6.39     0.14 130948992     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  1.66      6.50     0.11 130801308     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const
  1.36      6.59     0.09 130804910     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) const
  0.45      6.62     0.03 65614600     0.00     0.00  std::vector<Point, std::allocator<Point> >::operator[](unsigned long)
  0.00      6.62     0.00   279952     0.00     0.00  std::array<int, 1201ul>::operator[](unsigned long)
  0.00      6.62     0.00   196308     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      6.62     0.00   135202     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      6.62     0.00   135200     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      6.62     0.00   135200     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      6.62     0.00    98154     0.00     0.00  bool __gnu_cxx::operator==<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      6.62     0.00    96694     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      6.62     0.00    96694     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      6.62     0.00    67604     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      6.62     0.00    67601     0.00     0.00  _ZN9__gnu_cxxeqIPiSt6vectorIiSaIiEEEEbRKNS_17__normal_iteratorIT_T0_EESA_QrqXeqcldtfL0p_4baseEcldtfL0p0_4baseERSt14convertible_toIbEE
  0.00      6.62     0.00    67600     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      6.62     0.00    67600     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<char const>::operator()<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >)
  0.00      6.62     0.00    67600     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      6.62     0.00    67600     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      6.62     0.00    67600     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      6.62     0.00    67600     0.00     0.00  unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
